Date,Open,Close,High,Low
6/28/2023,1914.42,1907.78,1917.05,1902.8
6/29/2023,1908.5,1908.53,1913,1893.3
6/30/2023,1909,1919.38,1922.7,1900.62
7/1/2023,1919.38,1919.38,1919.38,1919.38
7/2/2023,1919.38,1919.38,1919.38,1919.38
7/3/2023,1918.58,1921.78,1930.9,1910.21
7/4/2023,1921.35,1925.4,1930.7,1920.05
7/5/2023,1925.4,1917.7,1934.95,1914.87
7/6/2023,1916.31,1911.08,1927.49,1902.75
7/7/2023,1911.17,1925.57,1934.75,1909.65
7/8/2023,1925.57,1925.57,1925.57,1925.57
7/9/2023,1925.57,1925.57,1925.57,1925.57
7/10/2023,1925.53,1925.37,1928.19,1912.8
7/11/2023,1925.35,1932.37,1938.27,1924.45
7/12/2023,1932.32,1957.44,1959.55,1932.32
7/13/2023,1957.89,1961.59,1963.35,1953
7/14/2023,1960.49,1955.32,1963.8,1951.17
7/15/2023,1955.32,1955.32,1955.32,1955.32
7/16/2023,1955.32,1955.32,1955.32,1955.32
7/17/2023,1954.56,1955.11,1959.75,1945.95
7/18/2023,1954.7,1978.97,1984.25,1954.7
7/19/2023,1979,1977.61,1980.85,1969.81
7/20/2023,1978.19,1969.99,1987.5,1965.54
7/21/2023,1970.55,1961.33,1973.75,1956.9
7/22/2023,1961.33,1961.33,1961.33,1961.33
7/23/2023,1961.74,1958.105,1964.54,1957.425
7/24/2023,1962.15,1954.88,1967.75,1953.52
7/25/2023,1955.32,1964.94,1965.56,1953.33
7/26/2023,1964.92,1972.44,1977.75,1962.15
7/27/2023,1971.19,1944.37,1982.1,1942.65
7/28/2023,1946.67,1959.67,1963.51,1945.58
7/29/2023,1959.67,1959.67,1959.67,1959.67
7/30/2023,1959.67,1959.67,1959.67,1959.67
7/31/2023,1959.67,1965.1,1972.31,1951.69
8/1/2023,1965.62,1944.4,1966.05,1941.39
8/2/2023,1949.18,1934.5,1954.65,1933.2
8/3/2023,1935.17,1934.12,1938.96,1929.7
8/4/2023,1934.71,1942.87,1946.25,1930.45
8/5/2023,1942.87,1942.87,1942.87,1942.87
8/6/2023,1942.87,1942.87,1942.87,1942.87
8/7/2023,1942.55,1936.76,1946.71,1931.75
8/8/2023,1936.35,1925.1,1938.05,1923
8/9/2023,1925.11,1914.94,1932.38,1914.15
8/10/2023,1915.67,1912.39,1929.54,1912.25
8/11/2023,1912.8,1913.67,1920.94,1911.1
8/12/2023,1913.67,1913.67,1913.67,1913.67
8/13/2023,0,1913.67,0,0
8/14/2023,1913.67,1908.29,1916.05,1902.85
8/15/2023,1907.37,1901.95,1911.56,1896.47
8/16/2023,1902.39,1892.15,1907.2,1891.7
8/17/2023,1894.66,1889.38,1903.3,1885.15
8/18/2023,1889.66,1889.4,1896.8,1886.94
8/19/2023,1889.4,1889.4,1889.4,1889.4
8/20/2023,1889.4,1889.4,1889.4,1889.4
8/21/2023,1890.01,1894.88,1898.65,1884.98
8/22/2023,1894.75,1897.85,1904.36,1889.6
8/23/2023,1897.81,1915.51,1920.35,1897.71
8/24/2023,1917.18,1917.81,1923.25,1911.9
8/25/2023,1916.96,1914.23,1922.2,1904.05
8/26/2023,1914.23,1914.23,1914.23,1914.23
8/27/2023,0,1914.23,0,0
8/28/2023,1914.23,1920.23,1925.94,1913.2
8/29/2023,1920.27,1937.48,1938.16,1914.65
8/30/2023,1937.26,1942.61,1948.67,1935.11
8/31/2023,1943.79,1940.11,1947.76,1939.21
9/1/2023,1940.11,1939.85,1952.47,1934.9
9/2/2023,1939.85,1938.51,1946.3,1936.8
9/3/2023,1941.975,1941.305,1946.3,1938.19
9/4/2023,1944.1,1944.1,1946.3,1939.58
9/5/2023,1938.81,1926.16,1939,1925.46
9/6/2023,1926.32,1916.61,1929.1,1915.35
9/7/2023,1917.39,1919.57,1923.55,1916.35
9/8/2023,1919.58,1919.16,1929.54,1917.38
9/9/2023,1919.16,1919.16,1919.16,1919.16
9/10/2023,1919.16,1919.16,1919.16,1919.16
9/11/2023,1919.6,1922.36,1930.37,1917.7
9/12/2023,1922.82,1913.55,1924.4,1907.85
9/13/2023,1913.46,1906.68,1915.65,1905.88
9/14/2023,1909.22,1910.68,1912.95,1900.97
9/15/2023,1910.76,1923.6,1930.4,1909.74
9/16/2023,1923.6,1923.6,1923.6,1923.6
9/17/2023,1923.6,1923.72,1923.72,1923.6
9/18/2023,1924.4,1933.64,1934.3,1922.71
9/19/2023,1933.66,1931.57,1937.25,1929.72
9/20/2023,1932.33,1930.47,1947.45,1927.89
9/21/2023,1930.18,1920.07,1931.57,1914.05
9/22/2023,1919.97,1925.52,1928.95,1919.95
9/23/2023,1925.52,1925.52,1925.52,1925.52
9/24/2023,1925.52,1925.52,1925.52,1925.52
9/25/2023,1925.91,1916.03,1927.05,1915.29
9/26/2023,1916.22,1900.82,1916.81,1899.32
9/27/2023,1900.97,1875.07,1903.8,1872.55
9/28/2023,1876.41,1864.91,1879.4,1857.95
9/29/2023,1865.27,1848.76,1879.45,1846.41
9/30/2023,1848.76,1848.76,1848.76,1848.76
10/1/2023,1848.76,1848.76,1848.76,1848.76
10/2/2023,1848.76,1827.92,1848.95,1827.4
10/3/2023,1828.61,1823.18,1832.75,1815.35
10/4/2023,1823.81,1821.43,1829.9,1816.7
10/5/2023,1821.92,1820.38,1829.16,1813.83
10/6/2023,1820.83,1831.66,1834.83,1810.75
10/7/2023,1831.66,1831.66,1831.66,1831.66
10/8/2023,1831.66,1831.66,1831.66,1831.66
10/9/2023,1833.38,1861.27,1863.45,1833.38
10/10/2023,1861.07,1860.48,1865.35,1853.1
10/11/2023,1860.2,1874.1,1877.02,1858.75
10/12/2023,1874.42,1869.02,1884.51,1867.42
10/13/2023,1869.6,1932.97,1932.97,1869.3
10/14/2023,1932.97,1932.97,1932.97,1932.97
10/15/2023,1932.97,1932.97,1932.97,1932.97
10/16/2023,1932.97,1920.14,1934.7,1908.2
10/17/2023,1919.8,1923.7,1931.35,1912.5
10/18/2023,1923.46,1948.29,1962.35,1923.36
10/19/2023,1948.07,1974.31,1977.65,1945.18
10/20/2023,1973.15,1981.42,1997.2,1972.15
10/21/2023,1981.42,1981.42,1981.42,1981.42
10/22/2023,1981.42,1981.42,1981.42,1981.42
10/23/2023,1981.82,1972.97,1982.85,1964.5
10/24/2023,1973.6,1971.36,1980.7,1954.8
10/25/2023,1970.14,1979.97,1986.77,1968.45
10/26/2023,1980.5,1985.17,1993.3,1972.06
10/27/2023,1984.1,2006.52,2009.4,1977.1
10/28/2023,2006.52,2006.52,2006.52,2006.52
10/29/2023,2006.52,2002.45,2006.8,1997.84
10/30/2023,2002,1995.29,2006.54,1991.5
10/31/2023,1995,1985,2007.25,1979.7
11/1/2023,1985,1983.8,1991.94,1970.24
11/2/2023,1984.38,1985.13,1991,1978.95
11/3/2023,1985.17,1992.52,2003.79,1983.41
11/4/2023,1992.52,1992.52,1992.52,1992.52
11/5/2023,1992.52,1992.52,1992.52,1992.52
